time,src_ip,dst_ip,proto,size,score,type
22:27:16,20.50.73.13,10.137.121.227,TCP,66,-0.054,Suspicious Traffic
22:27:18,10.137.121.227,20.50.73.13,TCP,54,-0.053,Suspicious Traffic
22:27:20,10.137.121.227,20.50.73.13,TCP,571,-0.054,Suspicious Traffic
22:27:23,10.137.121.227,10.137.121.41,UDP,76,-0.061,Suspicious Traffic
22:27:24,10.137.121.227,10.137.121.41,UDP,76,-0.061,Suspicious Traffic
22:27:25,10.137.121.41,10.137.121.227,UDP,92,-0.063,Suspicious Traffic
22:27:26,10.137.121.41,10.137.121.227,UDP,104,-0.063,Suspicious Traffic
22:27:28,20.50.73.13,10.137.121.227,TCP,153,-0.057,Suspicious Traffic
22:27:30,10.137.121.227,20.50.73.13,TCP,491,-0.056,Suspicious Traffic
22:27:31,20.50.73.13,10.137.121.227,TCP,1414,-0.060,Suspicious Traffic
22:27:33,20.50.73.13,10.137.121.227,TCP,1414,-0.060,Suspicious Traffic
22:27:34,10.137.121.227,20.50.73.13,TCP,54,-0.056,Suspicious Traffic
22:27:35,20.50.73.13,10.137.121.227,TCP,1414,-0.060,Suspicious Traffic
22:27:36,20.50.73.13,10.137.121.227,TCP,464,-0.056,Suspicious Traffic
22:27:37,10.137.121.227,20.50.73.13,TCP,54,-0.056,Suspicious Traffic
22:27:39,10.137.121.227,20.50.73.13,TCP,1414,-0.060,Suspicious Traffic
22:27:40,10.137.121.227,20.50.73.13,TCP,687,-0.056,Suspicious Traffic
22:27:44,20.50.73.13,10.137.121.227,TCP,54,-0.056,Suspicious Traffic
22:27:47,20.50.73.13,10.137.121.227,TCP,157,-0.057,Suspicious Traffic
22:27:49,10.137.121.227,20.50.73.13,TCP,54,-0.056,Suspicious Traffic
22:27:50,20.50.73.13,10.137.121.227,TCP,519,-0.056,Suspicious Traffic
22:27:55,10.137.121.227,20.50.73.13,TCP,54,-0.056,Suspicious Traffic
22:27:57,10.137.121.227,20.50.73.13,TCP,78,-0.057,Suspicious Traffic
22:28:00,10.137.121.41,224.0.0.251,UDP,82,-0.053,Suspicious Traffic
22:28:01,10.137.121.41,224.0.0.251,UDP,103,-0.055,Suspicious Traffic
22:28:03,10.137.121.41,224.0.0.251,UDP,119,-0.056,Suspicious Traffic
22:28:04,10.137.121.41,224.0.0.251,UDP,119,-0.056,Suspicious Traffic
22:28:05,10.137.121.41,224.0.0.251,UDP,119,-0.056,Suspicious Traffic
22:28:07,148.113.16.36,10.137.121.227,TCP,66,-0.051,Suspicious Traffic
22:28:08,10.137.121.227,57.144.213.32,TCP,124,-0.051,Suspicious Traffic
22:28:10,10.137.121.227,57.144.213.32,TCP,124,-0.054,Suspicious Traffic
22:28:11,57.144.213.32,10.137.121.227,TCP,54,-0.053,Suspicious Traffic
22:28:13,57.144.213.32,10.137.121.227,TCP,126,-0.054,Suspicious Traffic
22:28:14,10.137.121.227,57.144.213.32,TCP,54,-0.053,Suspicious Traffic
22:28:15,57.144.213.32,10.137.121.227,TCP,186,-0.054,Suspicious Traffic
22:28:17,10.137.121.227,57.144.213.32,TCP,128,-0.054,Suspicious Traffic
22:28:18,57.144.213.32,10.137.121.227,TCP,54,-0.053,Suspicious Traffic
22:28:20,10.137.121.227,172.188.155.25,TCP,55,-0.053,Suspicious Traffic
22:28:21,172.188.155.25,10.137.121.227,TCP,66,-0.055,Suspicious Traffic
22:28:23,10.137.121.227,140.82.112.25,TCP,55,-0.054,Suspicious Traffic
22:28:24,140.82.112.25,10.137.121.227,TCP,66,-0.055,Suspicious Traffic
22:28:26,10.137.121.227,34.139.124.58,TCP,55,-0.056,Suspicious Traffic
22:28:27,34.139.124.58,10.137.121.227,TCP,66,-0.057,Suspicious Traffic
22:28:28,10.137.121.227,148.113.16.36,TCP,55,-0.056,Suspicious Traffic
22:28:29,148.113.16.36,10.137.121.227,TCP,54,-0.056,Suspicious Traffic
22:28:31,10.137.121.227,148.113.16.36,TCP,54,-0.056,Suspicious Traffic
22:28:32,148.113.16.36,10.137.121.227,TCP,66,-0.057,Suspicious Traffic
22:28:33,10.137.121.227,172.217.24.4,UDP,71,-0.063,Suspicious Traffic
22:28:34,172.217.24.4,10.137.121.227,UDP,66,-0.063,Suspicious Traffic
22:28:36,10.137.121.227,34.139.124.58,TCP,54,-0.056,Suspicious Traffic
